CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
0.00632,18,2.31,0,0.538,6.58,65,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0,7.07,0,0.469,6.42,79,4.97,2,242,17.8,396.9,9.14,21.6
0.02729,0,7.07,0,0.469,7.18,61,4.97,2,242,17.8,392.83,4.03,34.7
0.03237,0,2.18,0,0.458,7.0,46,6.06,3,222,18.7,394.63,2.94,33.4
0.06905,0,2.18,0,0.458,7.15,54,6.06,3,222,18.7,396.9,5.33,36.2
0.02985,0,2.18,0,0.458,6.43,59,6.06,3,222,18.7,394.12,5.21,28.7
0.08829,12,7.87,0,0.524,6.01,67,5.56,5,311,15.2,395.6,12.43,22.9
0.14455,12,7.87,0,0.524,6.17,96,5.95,5,311,15.2,396.9,19.15,27.1
0.21124,12,7.87,0,0.524,5.63,100,6.08,5,311,15.2,386.63,29.93,16.5
0.17004,12,7.87,0,0.524,6.0,86,6.59,5,311,15.2,386.71,17.1,18.9
0.22489,12,7.87,0,0.524,6.38,94,6.35,5,311,15.2,392.52,20.45,15.0
0.11747,12,7.87,0,0.524,6.01,83,6.23,5,311,15.2,396.9,13.27,18.9
0.09378,12,7.87,0,0.524,5.89,39,5.45,5,311,15.2,390.5,15.71,21.7
0.62976,0,8.14,0,0.538,5.95,62,4.71,4,307,21.0,396.9,8.26,20.4
0.63796,0,8.14,0,0.538,6.1,84,4.46,4,307,21.0,380.02,10.26,18.2
0.62739,0,8.14,0,0.538,5.83,56,4.5,4,307,21.0,395.62,8.47,19.9
1.05393,0,8.14,0,0.538,5.94,29,4.5,4,307,21.0,386.85,6.58,23.1
0.7842,0,8.14,0,0.538,5.99,82,4.26,4,307,21.0,386.75,14.67,17.5
0.80271,0,8.14,0,0.538,5.46,37,3.8,4,307,21.0,288.99,11.69,20.2
0.7258,0,8.14,0,0.538,5.73,70,3.8,4,307,21.0,390.95,11.28,18.2
1.25179,0,8.14,0,0.538,5.57,98,3.8,4,307,21.0,376.57,21.02,13.6
0.85204,0,8.14,0,0.538,5.96,89,4.01,4,307,21.0,392.53,13.83,19.6
1.23247,0,8.14,0,0.538,6.14,92,3.98,4,307,21.0,396.9,18.72,15.2
0.98843,0,8.14,0,0.538,5.81,100,4.1,4,307,21.0,394.54,19.88,14.5
0.75026,0,8.14,0,0.538,5.92,94,4.4,4,307,21.0,394.33,16.3,15.6
0.84054,0,8.14,0,0.538,5.6,86,4.45,4,307,21.0,303.42,16.51,13.9
0.67191,0,8.14,0,0.538,5.81,90,4.68,4,307,21.0,376.88,14.81,16.6
0.95577,0,8.14,0,0.538,6.05,89,4.45,4,307,21.0,306.38,17.28,14.8
0.77299,0,8.14,0,0.538,6.5,94,4.45,4,307,21.0,387.94,12.8,18.4
1.00245,0,8.14,0,0.538,6.67,87,4.24,4,307,21.0,380.23,11.98,21.0
1.13081,0,8.14,0,0.538,5.71,94,4.23,4,307,21.0,360.17,22.6,12.7
1.35472,0,8.14,0,0.538,6.07,100,4.18,4,307,21.0,376.73,13.04,14.5
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21.0,232.6,27.71,13.2
1.15172,0,8.14,0,0.538,5.7,95,3.79,4,307,21.0,358.77,18.35,13.1
1.61282,0,8.14,0,0.538,6.1,97,3.76,4,307,21.0,248.31,20.34,13.5
0.06417,0,5.96,0,0.499,5.93,68,3.36,5,279,19.2,396.9,9.68,18.9
0.09744,0,5.96,0,0.499,5.84,61,3.38,5,279,19.2,377.56,11.41,20.0
0.08014,0,5.96,0,0.499,5.85,42,3.93,5,279,19.2,396.9,8.77,21.0
0.17505,0,5.96,0,0.499,5.97,30,3.85,5,279,19.2,393.43,10.13,24.7
0.02763,75,2.95,0,0.428,6.6,22,5.4,3,252,18.3,395.63,4.32,30.8
0.03359,75,2.95,0,0.428,7.02,16,5.4,3,252,18.3,395.62,1.98,34.9
0.12744,0,6.91,0,0.448,6.77,3,5.72,3,233,17.9,385.41,4.84,26.6
0.1415,0,6.91,0,0.448,6.17,7,5.72,3,233,17.9,383.37,5.81,25.3
0.15936,0,6.91,0,0.448,6.21,6,5.72,3,233,17.9,394.46,7.44,24.7
0.12269,0,6.91,0,0.448,6.07,40,5.72,3,233,17.9,389.39,9.55,21.2
0.17142,0,6.91,0,0.448,5.68,34,5.1,3,233,17.9,396.9,10.21,19.3
0.18836,0,6.91,0,0.448,5.79,33,5.1,3,233,17.9,396.9,14.15,20.0
0.22927,0,6.91,0,0.448,6.03,86,5.69,3,233,17.9,392.74,18.8,16.6
0.25387,0,6.91,0,0.448,5.4,95,5.87,3,233,17.9,396.9,30.81,14.4
0.21977,0,6.91,0,0.448,5.6,62,6.09,3,233,17.9,396.9,16.2,19.4
0.08873,21,5.64,0,0.439,5.96,46,6.81,4,243,16.8,395.56,13.45,19.7
0.04337,21,5.64,0,0.439,6.12,63,6.81,4,243,16.8,393.97,9.43,20.5
0.0536,21,5.64,0,0.439,6.51,21,6.81,4,243,16.8,396.9,5.28,25.0
0.04981,21,5.64,0,0.439,6.0,21,6.81,4,243,16.8,396.9,8.43,23.4
0.0136,75,4.0,0,0.41,5.89,48,7.32,3,469,21.1,396.9,14.8,18.9
0.01311,90,1.22,0,0.403,7.25,22,8.7,5,226,17.9,395.93,4.81,35.4
0.02055,85,0.74,0,0.41,6.38,36,9.19,2,313,17.3,396.9,5.77,24.7
0.01432,100,1.32,0,0.411,6.82,40,8.32,5,256,15.1,392.9,3.95,31.6
0.15445,25,5.13,0,0.453,6.14,29,7.81,8,284,19.7,390.68,6.86,23.3
0.10328,25,5.13,0,0.453,5.93,47,6.93,8,284,19.7,396.9,9.22,19.6
0.14932,25,5.13,0,0.453,5.74,66,7.23,8,284,19.7,395.11,13.15,18.7
0.17171,25,5.13,0,0.453,5.97,93,6.82,8,284,19.7,378.08,14.44,16.0
0.11027,25,5.13,0,0.453,6.46,68,7.23,8,284,19.7,396.9,6.73,22.2
0.1265,25,5.13,0,0.453,6.76,43,7.98,8,284,19.7,395.58,9.5,25.0
0.01951,18,1.38,0,0.4161,7.1,60,9.22,3,216,18.6,393.24,8.05,33.0
0.03584,80,3.37,0,0.398,6.29,18,6.61,4,337,16.1,396.9,4.67,23.5
0.04379,80,3.37,0,0.398,5.79,31,6.61,4,337,16.1,396.9,10.24,19.4
0.05789,12,6.07,0,0.409,5.88,21,6.5,4,345,18.9,396.21,8.1,22.0
0.13554,12,6.07,0,0.409,5.59,37,6.5,4,345,18.9,396.9,13.09,17.4
0.12816,12,6.07,0,0.409,5.88,33,6.5,4,345,18.9,396.9,8.79,20.9
0.08826,0,10.81,0,0.413,6.42,7,5.29,4,305,19.2,383.73,6.72,24.2
0.15876,0,10.81,0,0.413,5.96,18,5.29,4,305,19.2,376.94,9.88,21.7
0.09164,0,10.81,0,0.413,6.06,8,5.29,4,305,19.2,390.91,5.52,22.8
0.19539,0,10.81,0,0.413,6.24,6,5.29,4,305,19.2,377.17,7.54,23.4
0.07896,0,12.83,0,0.437,6.27,6,4.25,5,398,18.7,394.92,6.78,24.1
0.09512,0,12.83,0,0.437,6.29,45,4.5,5,398,18.7,383.23,8.94,21.4
0.10153,0,12.83,0,0.437,6.28,74,4.05,5,398,18.7,373.66,11.97,20.0
0.08707,0,12.83,0,0.437,6.14,46,4.09,5,398,18.7,386.96,10.27,20.8
0.05646,0,12.83,0,0.437,6.23,54,5.01,5,398,18.7,386.4,12.34,21.2
